session_id,cohort_id,grade_band,unit_family,unit_label,session_index,session_title,planned_objective,scheduled_date,duration_min,delivery_mode
S_C46_10_05,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-05-04,75,blended
S_C46_10_06,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-05-11,75,blended
S_C46_10_07,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-05-18,75,blended
S_C46_10_08,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-05-25,75,blended
S_C46_11_01,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-04-13,75,in_person
S_C46_11_02,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-04-20,75,in_person
S_C46_11_03,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-04-27,75,in_person
S_C46_11_04,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-05-04,75,in_person
S_C46_11_05,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-05-11,75,in_person
S_C46_11_06,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-05-18,75,in_person
S_C46_11_07,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-05-25,75,in_person
S_C46_11_08,C46_11,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-06-01,75,in_person
S_C46_12_01,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-04-20,75,in_person
S_C46_12_02,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-04-27,75,in_person
S_C46_12_03,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-05-04,75,in_person
S_C46_12_04,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-05-11,75,in_person
S_C46_12_05,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-05-18,75,in_person
S_C46_12_06,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-05-25,75,in_person
S_C46_12_07,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-06-01,75,in_person
S_C46_12_08,C46_12,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-06-08,75,in_person
S_C79_01_01,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-02-02,75,blended
S_C79_01_02,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-02-09,75,blended
S_C79_01_03,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-02-16,75,blended
S_C79_01_04,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-02-23,75,blended
S_C79_01_05,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-03-02,75,blended
S_C79_01_06,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-03-09,75,blended
S_C79_01_07,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-03-16,75,blended
S_C79_01_08,C79_01,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-03-23,75,blended
S_C79_02_01,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-02-09,75,blended
S_C79_02_02,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-02-16,75,blended
S_C79_02_03,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-02-23,75,blended
S_C79_02_04,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-03-02,75,blended
S_C79_02_05,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-03-09,75,blended
S_C79_02_06,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-03-16,75,blended
S_C79_02_07,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-03-23,75,blended
S_C79_02_08,C79_02,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-03-30,75,blended
S_C79_03_01,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-02-16,75,in_person
S_C79_03_02,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-02-23,75,in_person
S_C79_03_03,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-03-02,75,in_person
S_C79_03_04,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-03-09,75,in_person
S_C79_03_05,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-03-16,75,in_person
S_C79_03_06,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-03-23,75,in_person
S_C79_03_07,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-03-30,75,in_person
S_C79_03_08,C79_03,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-04-06,75,in_person
S_C79_04_01,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-02-23,75,in_person
S_C79_04_02,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-03-02,75,in_person
S_C79_04_03,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-03-09,75,in_person
S_C79_04_04,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-03-16,75,in_person
S_C79_04_05,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-03-23,75,in_person
S_C79_04_06,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-03-30,75,in_person
S_C79_04_07,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-04-06,75,in_person
S_C79_04_08,C79_04,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-04-13,75,in_person
S_C79_05_01,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-03-02,75,in_person
S_C79_05_02,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-03-09,75,in_person
S_C79_05_03,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-03-16,75,in_person
S_C79_05_04,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-03-23,75,in_person
S_C79_05_05,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-03-30,75,in_person
S_C79_05_06,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-04-06,75,in_person
S_C79_05_07,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-04-13,75,in_person
S_C79_05_08,C79_05,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-04-20,75,in_person
S_C79_06_01,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-03-09,75,in_person
S_C79_06_02,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-03-16,75,in_person
S_C79_06_03,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-03-23,75,in_person
S_C79_06_04,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-03-30,75,in_person
S_C79_06_05,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-04-06,75,in_person
S_C79_06_06,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-04-13,75,in_person
S_C79_06_07,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-04-20,75,in_person
S_C79_06_08,C79_06,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-04-27,75,in_person
S_C79_07_01,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-03-16,75,in_person
S_C79_07_02,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-03-23,75,in_person
S_C79_07_03,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-03-30,75,in_person
S_C79_07_04,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-04-06,75,in_person
S_C79_07_05,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-04-13,75,in_person
S_C79_07_06,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-04-20,75,in_person
S_C79_07_07,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-04-27,75,in_person
S_C79_07_08,C79_07,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-05-04,75,in_person
S_C79_08_01,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-03-23,75,in_person
S_C79_08_02,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-03-30,75,in_person
S_C79_08_03,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-04-06,75,in_person
S_C79_08_04,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-04-13,75,in_person
S_C79_08_05,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-04-20,75,in_person
S_C79_08_06,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-04-27,75,in_person
S_C79_08_07,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-05-04,75,in_person
S_C79_08_08,C79_08,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-05-11,75,in_person
S_C79_09_01,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-03-30,75,in_person
S_C79_09_02,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-04-06,75,in_person
S_C79_09_03,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-04-13,75,in_person
S_C79_09_04,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-04-20,75,in_person
S_C79_09_05,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-04-27,75,in_person
S_C79_09_06,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-05-04,75,in_person
S_C79_09_07,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-05-11,75,in_person
S_C79_09_08,C79_09,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-05-18,75,in_person
S_C79_10_01,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-04-06,75,in_person
S_C79_10_02,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-04-13,75,in_person
S_C79_10_03,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-04-20,75,in_person
S_C79_10_04,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-04-27,75,in_person
S_C79_10_05,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-05-04,75,in_person
S_C79_10_06,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-05-11,75,in_person
S_C79_10_07,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-05-18,75,in_person
S_C79_10_08,C79_10,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-05-25,75,in_person
S_C79_11_01,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-04-13,75,in_person
S_C79_11_02,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-04-20,75,in_person
S_C79_11_03,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-04-27,75,in_person
S_C79_11_04,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-05-04,75,in_person
S_C79_11_05,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-05-11,75,in_person
S_C79_11_06,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-05-18,75,in_person
S_C79_11_07,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-05-25,75,in_person
S_C79_11_08,C79_11,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-06-01,75,in_person
S_C79_12_01,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,1,"Question, Claims, and Evidence",Frame a claim and identify the evidence needed to test it.,2026-04-20,75,in_person
S_C79_12_02,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,2,Data + Bias Basics,"Explore datasets, labels, and bias basics.",2026-04-27,75,in_person
S_C79_12_03,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,3,Build a Simple Classifier,Build a simple classifier or no-code model.,2026-05-04,75,in_person
S_C79_12_04,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,4,Evaluate Model Behavior,Evaluate how the model behaves across cases.,2026-05-11,75,in_person
S_C79_12_05,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,5,Create an AI Detector Checklist,Create a practical media checking checklist.,2026-05-18,75,in_person
S_C79_12_06,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,6,Communicate Findings,Communicate findings with uncertainty and evidence.,2026-05-25,75,in_person
S_C79_12_07,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,7,Policy & Ethics Debate,Debate policy and ethics implications.,2026-06-01,75,in_person
S_C79_12_08,C79_12,7-9,ai_media_detective_lab,AI Media Detective Lab,8,Public Showcase,Present findings and reflect on limitations and impact.,2026-06-08,75,in_person
S_C1012_01_01,C1012_01,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-02-02,75,blended
S_C1012_01_02,C1012_01,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-02-09,75,blended
S_C1012_01_03,C1012_01,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-02-16,75,blended
S_C1012_01_04,C1012_01,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-02-23,75,blended
S_C1012_01_05,C1012_01,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-03-02,75,blended
S_C1012_01_06,C1012_01,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-03-09,75,blended
S_C1012_01_07,C1012_01,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-03-16,75,blended
S_C1012_01_08,C1012_01,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-03-23,75,blended
S_C1012_02_01,C1012_02,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-02-09,75,blended
S_C1012_02_02,C1012_02,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-02-16,75,blended
S_C1012_02_03,C1012_02,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-02-23,75,blended
S_C1012_02_04,C1012_02,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-03-02,75,blended
S_C1012_02_05,C1012_02,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-03-09,75,blended
S_C1012_02_06,C1012_02,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-03-16,75,blended
S_C1012_02_07,C1012_02,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-03-23,75,blended
S_C1012_02_08,C1012_02,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-03-30,75,blended
S_C1012_03_01,C1012_03,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-02-16,75,in_person
S_C1012_03_02,C1012_03,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-02-23,75,in_person
S_C1012_03_03,C1012_03,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-03-02,75,in_person
S_C1012_03_04,C1012_03,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-03-09,75,in_person
S_C1012_03_05,C1012_03,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-03-16,75,in_person
S_C1012_03_06,C1012_03,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-03-23,75,in_person
S_C1012_03_07,C1012_03,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-03-30,75,in_person
S_C1012_03_08,C1012_03,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-04-06,75,in_person
S_C1012_04_01,C1012_04,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-02-23,75,blended
S_C1012_04_02,C1012_04,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-03-02,75,blended
S_C1012_04_03,C1012_04,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-03-09,75,blended
S_C1012_04_04,C1012_04,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-03-16,75,blended
S_C1012_04_05,C1012_04,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-03-23,75,blended
S_C1012_04_06,C1012_04,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-03-30,75,blended
S_C1012_04_07,C1012_04,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-04-06,75,blended
S_C1012_04_08,C1012_04,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-04-13,75,blended
S_C1012_05_01,C1012_05,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-03-02,75,blended
S_C1012_05_02,C1012_05,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-03-09,75,blended
S_C1012_05_03,C1012_05,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-03-16,75,blended
S_C1012_05_04,C1012_05,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-03-23,75,blended
S_C1012_05_05,C1012_05,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-03-30,75,blended
S_C1012_05_06,C1012_05,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-04-06,75,blended
S_C1012_05_07,C1012_05,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-04-13,75,blended
S_C1012_05_08,C1012_05,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-04-20,75,blended
S_C1012_06_01,C1012_06,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-03-09,75,in_person
S_C1012_06_02,C1012_06,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-03-16,75,in_person
S_C1012_06_03,C1012_06,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-03-23,75,in_person
S_C1012_06_04,C1012_06,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-03-30,75,in_person
S_C1012_06_05,C1012_06,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-04-06,75,in_person
S_C1012_06_06,C1012_06,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-04-13,75,in_person
S_C1012_06_07,C1012_06,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-04-20,75,in_person
S_C1012_06_08,C1012_06,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-04-27,75,in_person
S_C1012_07_01,C1012_07,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-03-16,75,blended
S_C1012_07_02,C1012_07,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-03-23,75,blended
S_C1012_07_03,C1012_07,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-03-30,75,blended
S_C1012_07_04,C1012_07,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-04-06,75,blended
S_C1012_07_05,C1012_07,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-04-13,75,blended
S_C1012_07_06,C1012_07,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-04-20,75,blended
S_C1012_07_07,C1012_07,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-04-27,75,blended
S_C1012_07_08,C1012_07,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-05-04,75,blended
S_C1012_08_01,C1012_08,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-03-23,75,in_person
S_C1012_08_02,C1012_08,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-03-30,75,in_person
S_C1012_08_03,C1012_08,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-04-06,75,in_person
